rank,name,year,score
1,Guardians of the Galaxy Vol. 3,2023,8.3
2,Evil Dead Rise,2023,6.9
3,Dungeons & Dragons: Honor Among Thieves,2023,7.4
4,The Covenant,2023,7.6
5,Oppenheimer,2023,NA
6,A Man Called Otto,2022,7.5
7,The Super Mario Bros. Movie,2023,7.3
8,Air,2023,7.6
9,The Mother,2023,5.5
10,The Little Mermaid,2023,NA
11,The Meg 2: The Trench,2023,NA
12,Dune: Part Two,2023,NA
13,The Pope's Exorcist,2023,6.1
14,Renfield,2023,6.4
15,Guardians of the Galaxy,2014,8.0
16,Peter Pan & Wendy,2023,4.1
17,Ghosted,2023,5.8
18,John Wick: Chapter 4,2023,8.2
19,Scream VI,2023,6.7
20,The Kerala Story,2023,7.7
21,Guardians of the Galaxy Vol. 2,2017,7.6
22,Beau Is Afraid,2023,7.2
23,Fast X,2023,NA
24,AKA,2023,6.7
25,Sisu,2022,7.3
26,Simulant,2023,5.1
27,The Flash,2023,NA
28,Fool's Paradise,2023,5.4
29,Poor Things,2023,NA
30,Ant-Man and the Wasp: Quantumania,2023,6.2
31,BlackBerry,2023,7.9
32,Beetlejuice 2,2024,NA
33,Spider-Man: Across the Spider-Verse,2023,NA
34,Dune,2021,8.0
35,Love Again,2023,6.0
36,Avatar: The Way of Water,2022,7.7
37,Heat,1995,8.3
38,Transformers: Rise of the Beasts,2023,NA
39,Are You There God? It's Me, Margaret.,2023,7.9
40,X,2022,6.6
41,The Meg,2018,5.6
42,Knights of the Zodiac,2023,4.6
43,The Shawshank Redemption,1994,9.3
44,Beautiful Disaster,2023,5.2
45,Nefarious,2023,6.7
46,Cocaine Bear,2023,6.0
47,Operation Fortune: Ruse de Guerre,2023,6.3
48,The Hunger Games: The Ballad of Songbirds and Snakes,2023,NA
49,Everything Everywhere All at Once,2022,7.9
50,Hypnotic,2023,5.6
51,Flamin' Hot,2023,8.0
52,Barbie,2023,NA
53,Paint,2023,5.0
54,Evil Dead,2013,6.5
55,Book Club: The Next Chapter,2023,5.7
56,Top Gun: Maverick,2022,8.3
57,The Menu,2022,7.2
58,Knock at the Cabin,2023,6.1
59,Pitch Perfect,2012,7.1
60,Tu Jhoothi Main Makkaar,2023,6.2
61,Crater,2023,4.9
62,The Godfather,1972,9.2
63,Book Club,2018,6.1
64,Killers of the Flower Moon,2023,NA
65,Shazam! Fury of the Gods,2023,6.1
66,Bullet Train,2022,7.3
67,The Whale,2022,7.7
68,Girl in the Basement,2021,6.3
69,Babylon,2022,7.2
70,Scream,2022,6.3
71,Mafia Mamma,2023,5.3
72,The Suicide Squad,2021,7.2
73,Fall,2022,6.4
74,Five Nights at Freddy's,2023,NA
75,The Artifice Girl,2022,6.6
76,The Last Kingdom: Seven Kings Must Die,2023,6.9
77,Beetlejuice,1988,7.5
78,Dead Shot,2023,5.6
79,Tetris,2023,7.4
80,Midsommar,2019,7.1
81,Interstellar,2014,8.6
82,Soft & Quiet,2022,6.2
83,65,2023,5.4
84,Triangle of Sadness,2022,7.3
85,Love,2015,6.1
86,The Expendables 4,2023,NA
87,Indiana Jones and the Dial of Destiny,2023,NA
88,The Evil Dead,1981,7.4
89,Asteroid City,2023,NA
90,Puss in Boots: The Last Wish,2022,7.9
91,The Batman,2022,7.8
92,Avengers: Endgame,2019,8.4
93,M3GAN,2022,6.4
94,John Wick,2014,7.4
95,Nope,2022,6.8
96,Thor: Love and Thunder,2022,6.2
97,Spider-Man: No Way Home,2021,8.2
98,Ticket to Paradise,2022,6.1
99,Above Suspicion,2019,5.7
100,American Graffiti,1973,7.4
